@relation BCI

@attribute Channel_0_0 NUMERIC
@attribute Channel_1_0 NUMERIC
@attribute Channel_2_0 NUMERIC
@attribute Channel_3_0 NUMERIC
@attribute Channel_4_0 NUMERIC
@attribute Channel_5_0 NUMERIC
@attribute Channel_6_0 NUMERIC
@attribute Channel_7_0 NUMERIC
@attribute Channel_8_0 NUMERIC
@attribute Channel_9_0 NUMERIC
@attribute Channel_10_0 NUMERIC
@attribute Channel_11_0 NUMERIC
@attribute Channel_12_0 NUMERIC
@attribute Channel_13_0 NUMERIC
@attribute Channel_14_0 NUMERIC
@attribute Channel_15_0 NUMERIC
@attribute Channel_0_1 NUMERIC
@attribute Channel_1_1 NUMERIC
@attribute Channel_2_1 NUMERIC
@attribute Channel_3_1 NUMERIC
@attribute Channel_4_1 NUMERIC
@attribute Channel_5_1 NUMERIC
@attribute Channel_6_1 NUMERIC
@attribute Channel_7_1 NUMERIC
@attribute Channel_8_1 NUMERIC
@attribute Channel_9_1 NUMERIC
@attribute Channel_10_1 NUMERIC
@attribute Channel_11_1 NUMERIC
@attribute Channel_12_1 NUMERIC
@attribute Channel_13_1 NUMERIC
@attribute Channel_14_1 NUMERIC
@attribute Channel_15_1 NUMERIC
@attribute Channel_0_2 NUMERIC
@attribute Channel_1_2 NUMERIC
@attribute Channel_2_2 NUMERIC
@attribute Channel_3_2 NUMERIC
@attribute Channel_4_2 NUMERIC
@attribute Channel_5_2 NUMERIC
@attribute Channel_6_2 NUMERIC
@attribute Channel_7_2 NUMERIC
@attribute Channel_8_2 NUMERIC
@attribute Channel_9_2 NUMERIC
@attribute Channel_10_2 NUMERIC
@attribute Channel_11_2 NUMERIC
@attribute Channel_12_2 NUMERIC
@attribute Channel_13_2 NUMERIC
@attribute Channel_14_2 NUMERIC
@attribute Channel_15_2 NUMERIC
@attribute Channel_0_3 NUMERIC
@attribute Channel_1_3 NUMERIC
@attribute Channel_2_3 NUMERIC
@attribute Channel_3_3 NUMERIC
@attribute Channel_4_3 NUMERIC
@attribute Channel_5_3 NUMERIC
@attribute Channel_6_3 NUMERIC
@attribute Channel_7_3 NUMERIC
@attribute Channel_8_3 NUMERIC
@attribute Channel_9_3 NUMERIC
@attribute Channel_10_3 NUMERIC
@attribute Channel_11_3 NUMERIC
@attribute Channel_12_3 NUMERIC
@attribute Channel_13_3 NUMERIC
@attribute Channel_14_3 NUMERIC
@attribute Channel_15_3 NUMERIC
@attribute Mean_0_0 NUMERIC
@attribute Variance_0_1 NUMERIC
@attribute StdDev_0_2 NUMERIC
@attribute Mean_1_0 NUMERIC
@attribute Variance_1_1 NUMERIC
@attribute StdDev_1_2 NUMERIC
@attribute Mean_2_0 NUMERIC
@attribute Variance_2_1 NUMERIC
@attribute StdDev_2_2 NUMERIC
@attribute Mean_3_0 NUMERIC
@attribute Variance_3_1 NUMERIC
@attribute StdDev_3_2 NUMERIC
@attribute Mean_4_0 NUMERIC
@attribute Variance_4_1 NUMERIC
@attribute StdDev_4_2 NUMERIC
@attribute Mean_5_0 NUMERIC
@attribute Variance_5_1 NUMERIC
@attribute StdDev_5_2 NUMERIC
@attribute Mean_6_0 NUMERIC
@attribute Variance_6_1 NUMERIC
@attribute StdDev_6_2 NUMERIC
@attribute Mean_7_0 NUMERIC
@attribute Variance_7_1 NUMERIC
@attribute StdDev_7_2 NUMERIC
@attribute Mean_8_0 NUMERIC
@attribute Variance_8_1 NUMERIC
@attribute StdDev_8_2 NUMERIC
@attribute Mean_9_0 NUMERIC
@attribute Variance_9_1 NUMERIC
@attribute StdDev_9_2 NUMERIC
@attribute Mean_10_0 NUMERIC
@attribute Variance_10_1 NUMERIC
@attribute StdDev_10_2 NUMERIC
@attribute Mean_11_0 NUMERIC
@attribute Variance_11_1 NUMERIC
@attribute StdDev_11_2 NUMERIC
@attribute Mean_12_0 NUMERIC
@attribute Variance_12_1 NUMERIC
@attribute StdDev_12_2 NUMERIC
@attribute Mean_13_0 NUMERIC
@attribute Variance_13_1 NUMERIC
@attribute StdDev_13_2 NUMERIC
@attribute Mean_14_0 NUMERIC
@attribute Variance_14_1 NUMERIC
@attribute StdDev_14_2 NUMERIC
@attribute Mean_15_0 NUMERIC
@attribute Variance_15_1 NUMERIC
@attribute StdDev_15_2 NUMERIC
@attribute @class@ { '0', '1' }

@data
-10243.67, 19176.59, 14188.46, 17558.21, -11257.88, 16512.73, 44595.04, 27643.07, -7924.03, 3678.34, 24054.52, 26597.81, -25081.85, -14578.28, 27603.11, -24409.27, -10281.76, 19154.35, 14159.56, 17535.90, -11282.83, 16558.84, 44651.88, 27701.95, -7924.03, 3678.34, 24054.52, 26597.81, -25081.85, -14578.28, 27603.11, -24409.27, -10281.76, 19154.35, 14159.56, 17535.90, -11282.83, 16558.84, 44651.88, 27701.95, -7942.33, 3668.41, 24059.10, 26633.80, -25077.18, -14597.81, 27629.21, -24435.62, -10264.93, 19181.98, 14179.25, 17547.82, -11266.08, 16535.42, 44564.88, 27681.29, -7942.33, 3668.41, 24059.10, 26633.80, -25077.18, -14597.81, 27629.21, -24435.62, -10268.03, 245.01135000000167, 15.652838400750252, 19166.8175, 159.07006875001554, 12.61229831355156, 14171.707499999999, 158.16476874999887, 12.576357531097742, 17544.4575, 86.72481874998105, 9.312616106657734, -11272.405, 117.0856250000053, 10.820611119525795, 16541.4575, 366.50581875001404, 19.144341690170858, 44615.92, 1406.8247999999635, 37.50766321700092, 27682.065000000002, 578.0092750000198, 24.04182345413966, -7933.18, 83.72250000000167, 9.150000000000091, 3673.375, 24.651225000001446, 4.9650000000001455, 24056.809999999998, 5.244099999995668, 2.289999999999054, 26615.805, 323.8200249999633, 17.99499999999898, -25079.515, 5.452224999995923, 2.334999999999127, -14588.045, 95.35522499998864, 9.764999999999418, 27616.159999999996, 170.30249999998102, 13.049999999999272, -24422.445, 173.58062499998084, 13.174999999999272, '0'
-10264.93, 19181.98, 14179.25, 17547.82, -11266.08, 16535.42, 44564.88, 27681.29, -7935.11, 3676.28, 24075.80, 26658.46, -25070.41, -14574.16, 27663.10, -24412.33, -10277.06, 19157.59, 14160.70, 17543.28, -11280.41, 16564.30, 44597.65, 27721.66, -7935.11, 3676.28, 24075.80, 26658.46, -25070.41, -14574.16, 27663.10, -24412.33, -10277.06, 19157.59, 14160.70, 17543.28, -11280.41, 16564.30, 44597.65, 27721.66, -7935.43, 3676.17, 24079.96, 26711.38, -25086.10, -14591.78, 27693.68, -24431.98, -10268.08, 19169.53, 14164.12, 17540.96, -11275.63, 16553.86, 44538.13, 27715.34, -7935.43, 3676.17, 24079.96, 26711.38, -25086.10, -14591.78, 27693.68, -24431.98, -10271.7825, 29.09231874999645, 5.393729577017785, 19166.6725, 101.86711874999368, 10.092924192224654, 14166.192500000001, 58.78216874999518, 7.666953029071926, 17543.835, 6.190475000001322, 2.488066518403662, -11275.632499999998, 34.22481874999965, 5.850198180403776, 16554.47, 139.1331000000093, 11.795469469250019, 44574.5775, 621.785568750094, 24.935628501204736, 27709.9875, 281.17256874998617, 16.76820111848573, -7935.27, 0.025600000000098953, 0.16000000000030923, 3676.225, 0.003025000000007003, 0.055000000000063665, 24077.879999999997, 4.326399999999698, 2.0799999999999272, 26684.920000000002, 700.1316000000501, 26.460000000000946, -25078.254999999997, 61.54402499998973, 7.844999999999345, -14582.97, 77.61610000000705, 8.8100000000004, 27678.39, 233.7841000000267, 15.290000000000873, -24422.155, 96.53062499997856, 9.824999999998909, '0'
-10268.08, 19169.53, 14164.12, 17540.96, -11275.63, 16553.86, 44538.13, 27715.34, -7954.52, 3671.72, 24079.29, 26707.90, -25072.02, -14583.48, 27706.71, -24422.41, -10279.05, 19164.07, 14155.76, 17545.67, -11284.88, 16588.71, 44580.71, 27765.43, -7954.52, 3671.72, 24079.29, 26707.90, -25072.02, -14583.48, 27706.71, -24422.41, -10279.05, 19164.07, 14155.76, 17545.67, -11284.88, 16588.71, 44580.71, 27765.43, -7948.50, 3680.64, 24101.97, 26789.97, -25077.29, -14591.58, 27755.23, -24434.17, -10271.97, 19173.46, 14162.13, 17543.88, -11275.94, 16581.44, 44538.64, 27764.67, -7948.50, 3680.64, 24101.97, 26789.97, -25077.29, -14591.58, 27755.23, -24434.17, -10274.537499999999, 22.254168749997792, 4.717432431948315, 19167.7825, 15.713268749997583, 3.963996562813543, 14159.4425, 14.055818749999991, 3.7491090608303184, 17544.045, 3.706424999998425, 1.925207780993632, -11280.3325, 20.691768749997124, 4.548820588899624, 16578.18, 205.96294999998156, 14.351409338458073, 44559.5475, 447.8839187500157, 21.163268149083585, 27752.717500000002, 465.7887687499906, 21.582140041015176, -7951.51, 9.060100000001315, 3.0100000000002183, 3676.18, 19.891600000000324, 4.460000000000036, 24090.63, 128.5956000000033, 11.340000000000146, 26748.935, 1683.871224999988, 41.034999999999854, -25074.655, 6.943225000001149, 2.6350000000002183, -14587.53, 16.402500000001474, 4.050000000000182, 27730.969999999998, 588.5476000000107, 24.26000000000022, -24428.289999999997, 34.57439999999059, 5.8799999999992, '0'
-10271.97, 19173.46, 14162.13, 17543.88, -11275.94, 16581.44, 44538.64, 27764.67, -7926.00, 3675.99, 24084.76, 26741.54, -25052.64, -14583.51, 27738.27, -24434.57, -10266.63, 19176.81, 14168.37, 17553.70, -11275.72, 16583.54, 44537.70, 27781.72, -7926.00, 3675.99, 24084.76, 26741.54, -25052.64, -14583.51, 27738.27, -24434.57, -10266.63, 19176.81, 14168.37, 17553.70, -11275.72, 16583.54, 44537.70, 27781.72, -7919.22, 3667.30, 24088.79, 26797.10, -25068.06, -14600.67, 27765.52, -24443.29, -10275.63, 19162.37, 14153.08, 17534.18, -11289.73, 16563.20, 44479.86, 27760.62, -7919.22, 3667.30, 24088.79, 26797.10, -25068.06, -14600.67, 27765.52, -24443.29, -10270.214999999998, 14.526675000000129, 3.8113875426149106, 19172.3625, 35.153768750010435, 5.929061371752736, 14162.987500000001, 39.20911875000501, 6.261718514114556, 17546.364999999998, 65.5634750000023, 8.097127577110435, -11279.2775, 36.4263187499992, 6.03542200264399, 16577.93, 73.05929999999724, 8.547473310867794, 44523.47499999999, 634.2366749999414, 25.184055968011616, 27772.1825, 93.01421875002355, 9.644387940663915, -7922.610000000001, 11.492099999999136, 3.3899999999998727, 3671.6449999999995, 18.87902499999826, 4.3449999999998, 24086.775, 4.060225000004985, 2.015000000001237, 26769.32, 771.7283999999353, 27.779999999998836, -25060.35, 59.44410000001458, 7.710000000000946, -14592.09, 73.61639999999875, 8.579999999999927, 27751.895, 185.640625, 13.625, -24438.93, 19.009600000005076, 4.360000000000582, '0'
-10275.63, 19162.37, 14153.08, 17534.18, -11289.73, 16563.20, 44479.86, 27760.62, -7908.07, 3655.27, 24062.86, 26730.14, -25061.31, -14603.94, 27729.84, -24448.25, -10277.64, 19159.69, 14152.14, 17540.06, -11282.62, 16579.38, 44485.67, 27787.06, -7908.07, 3655.27, 24062.86, 26730.14, -25061.31, -14603.94, 27729.84, -24448.25, -10277.64, 19159.69, 14152.14, 17540.06, -11282.62, 16579.38, 44485.67, 27787.06, -7947.99, 3666.92, 24083.22, 26805.08, -25052.84, -14600.61, 27774.32, -24437.21, -10271.65, 19174.20, 14164.32, 17544.67, -11275.36, 16566.49, 44430.19, 27775.08, -7947.99, 3666.92, 24083.22, 26805.08, -25052.84, -14600.61, 27774.32, -24437.21, -10275.64, 5.980049999999565, 2.4454140753662896, 19163.9875, 35.96211875001016, 5.9968423982968035, 14155.42, 26.5506000000007, 5.152727433117406, 17539.7425, 13.855818749995304, 3.7223404935598388, -11282.5825, 25.81351874999637, 5.080700616056448, 16572.112500000003, 54.16956874999966, 7.359997877037714, 44470.3475, 543.1676187499293, 23.305956722476108, 27777.455, 118.39247500001908, 10.880830620868016, -7928.029999999999, 398.4016000000015, 19.960000000000036, 3661.095, 33.93062500000053, 5.8250000000000455, 24073.04, 103.63240000000593, 10.180000000000291, 26767.61, 1404.0009000000873, 37.470000000001164, -25057.075, 17.93522500000493, 4.235000000000582, -14602.275000000001, 2.772224999999879, 1.6649999999999636, 27752.08, 494.61759999999026, 22.23999999999978, -24442.729999999996, 30.47040000000482, 5.520000000000437, '0'
-10271.65, 19174.20, 14164.32, 17544.67, -11275.36, 16566.49, 44430.19, 27775.08, -7958.43, 3658.04, 24061.88, 26728.37, -25050.13, -14608.05, 27732.75, -24444.85, -10282.67, 19155.40, 14158.09, 17547.53, -11282.07, 16581.06, 44433.79, 27800.63, -7958.43, 3658.04, 24061.88, 26728.37, -25050.13, -14608.05, 27732.75, -24444.85, -10282.67, 19155.40, 14158.09, 17547.53, -11282.07, 16581.06, 44433.79, 27800.63, -7928.99, 3676.33, 24088.07, 26822.61, -25050.67, -14597.34, 27790.30, -24432.45, -10271.07, 19164.03, 14164.84, 17547.24, -11280.86, 16571.98, 44395.26, 27795.13, -7928.99, 3676.33, 24088.07, 26822.61, -25050.67, -14597.34, 27790.30, -24432.45, -10277.015, 32.021075000002256, 5.658716727315678, 19162.2575, 59.953918749993335, 7.742991589172323, 14161.335, 10.563824999999348, 3.250203839761338, 17546.7425, 1.4457687500012906, 1.2024012433465339, -11280.09, 7.701649999998271, 2.7751846785391185, 16575.1475, 38.72516875000151, 6.222954985374835, 44423.25750000001, 263.44666874998876, 16.231040285514318, 27792.867500000004, 110.50671874999352, 10.51221759430395, -7943.709999999999, 216.67840000000749, 14.720000000000255, 3667.185, 83.63102499999967, 9.144999999999982, 24074.975, 171.47902499998284, 13.094999999999345, 26775.49, 2220.2944000000753, 47.1200000000008, -25050.399999999998, 0.07289999999925348, 0.26999999999861757, -14602.695, 28.676024999995324, 5.354999999999563, 27761.525, 828.000624999979, 28.774999999999636, -24438.649999999998, 38.43999999998646, 6.199999999998909, '0'
-10271.07, 19164.03, 14164.84, 17547.24, -11280.86, 16571.98, 44395.26, 27795.13, -7911.02, 3662.53, 24053.96, 26723.88, -25043.97, -14600.63, 27725.79, -24450.93, -10280.80, 19154.86, 14147.16, 17539.93, -11289.11, 16576.79, 44369.82, 27799.94, -7911.02, 3662.53, 24053.96, 26723.88, -25043.97, -14600.63, 27725.79, -24450.93, -10280.80, 19154.86, 14147.16, 17539.93, -11289.11, 16576.79, 44369.82, 27799.94, -7925.37, 3676.88, 24074.04, 26809.89, -25062.25, -14595.84, 27771.97, -24438.55, -10272.10, 19170.42, 14160.14, 17535.57, -11285.26, 16564.32, 44327.17, 27790.21, -7925.37, 3676.88, 24074.04, 26809.89, -25062.25, -14595.84, 27771.97, -24438.55, -10276.1925, 21.36166874999665, 4.621868534477874, 19161.0425, 43.327318749986475, 6.582349029790692, 14154.825, 61.51347500000029, 7.843052658244766, 17540.6675, 17.56751875000579, 4.191362397837461, -11286.085000000001, 11.570625000000149, 3.4015621411345918, 16572.47, 25.996850000005065, 5.098710621324284, 44365.5175, 598.0425187500625, 24.454907866317193, 27796.305, 16.2390249999973, 4.029767363012076, -7918.195, 51.48062499999609, 7.174999999999727, 3669.705, 51.48062499999935, 7.1749999999999545, 24064.0, 100.80160000001753, 10.040000000000873, 26766.885, 1849.4300249999312, 43.0049999999992, -25053.11, 83.53959999998936, 9.139999999999418, -14598.235, 5.736024999997735, 2.394999999999527, 27748.88, 533.1481000000067, 23.090000000000146, -24444.74, 38.3161000000063, 6.190000000000509, '0'
-10272.10, 19170.42, 14160.14, 17535.57, -11285.26, 16564.32, 44327.17, 27790.21, -7939.63, 3654.78, 24046.88, 26705.17, -25034.04, -14601.41, 27706.97, -24452.63, -10274.83, 19158.93, 14165.28, 17549.47, -11278.40, 16564.83, 44285.49, 27790.84, -7939.63, 3654.78, 24046.88, 26705.17, -25034.04, -14601.41, 27706.97, -24452.63, -10274.83, 19158.93, 14165.28, 17549.47, -11278.40, 16564.83, 44285.49, 27790.84, -7915.96, 3668.93, 24069.32, 26783.67, -25040.99, -14588.51, 27763.14, -24431.73, -10284.31, 19164.99, 14147.13, 17531.28, -11294.40, 16570.11, 44275.32, 27795.96, -7915.96, 3668.93, 24069.32, 26783.67, -25040.99, -14588.51, 27763.14, -24431.73, -10276.5175, 21.483168749997336, 4.634993932034575, 19163.3175, 22.935768749993862, 4.7891302707270205, 14159.457499999999, 55.05901875000855, 7.420176463535658, 17541.447500000002, 66.66101875001611, 8.164619939104092, -11284.115, 43.10367500000034, 6.565338909759369, 16566.0225, 5.6125687499993555, 2.3690860579555473, 44293.3675, 398.1078187499892, 19.952639393072516, 27791.9625, 5.392818749998856, 2.3222443346897967, -7927.795, 140.06722500000086, 11.835000000000036, 3661.855, 50.05562499999743, 7.074999999999818, 24058.1, 125.88839999998531, 11.219999999999345, 26744.42, 1540.5625, 39.25, -25037.515000000003, 12.075625000002528, 3.475000000000364, -14594.960000000001, 41.602499999997654, 6.449999999999818, 27735.055, 788.7672249999509, 28.084999999999127, -24442.18, 109.2025000000152, 10.450000000000728, '0'
-10284.31, 19164.99, 14147.13, 17531.28, -11294.40, 16570.11, 44275.32, 27795.96, -7942.76, 3645.50, 24042.61, 26702.35, -25048.71, -14614.84, 27709.86, -24468.57, -10295.48, 19152.34, 14151.78, 17535.39, -11288.32, 16570.64, 44243.98, 27800.41, -7942.76, 3645.50, 24042.61, 26702.35, -25048.71, -14614.84, 27709.86, -24468.57, -10295.48, 19152.34, 14151.78, 17535.39, -11288.32, 16570.64, 44243.98, 27800.41, -7970.07, 3658.24, 24069.72, 26777.81, -25041.84, -14601.75, 27769.78, -24435.28, -10292.80, 19146.12, 14144.70, 17528.08, -11296.10, 16585.98, 44266.62, 27827.05, -7970.07, 3658.24, 24069.72, 26777.81, -25041.84, -14601.75, 27769.78, -24435.28, -10292.0175, 20.99891875000017, 4.582457719390345, 19153.9475, 47.09366875001259, 6.862482695789665, 14148.8475, 9.3376687500011, 3.0557599300339513, 17532.535, 9.431024999995177, 3.070997394983457, -11291.785, 12.367475000001317, 3.5167421002969945, 16574.3425, 45.190618749998386, 6.7223968009928114, 44257.475, 191.5762749999662, 13.841108156501278, 27805.9575, 151.5982687499975, 12.31252487307122, -7956.415, 186.45902499999303, 13.654999999999745, 3651.87, 40.57689999999861, 6.369999999999891, 24056.165, 183.7380250000079, 13.555000000000291, 26740.079999999998, 1423.5529000001045, 37.73000000000138, -25045.274999999998, 11.7992249999965, 3.4349999999994907, -14608.295, 42.83702500000095, 6.545000000000073, 27739.82, 897.6015999999477, 29.959999999999127, -24451.925, 277.05602500001453, 16.645000000000437, '0'
-10292.80, 19146.12, 14144.70, 17528.08, -11296.10, 16585.98, 44266.62, 27827.05, -7940.43, 3645.88, 24036.35, 26699.22, -25039.72, -14619.76, 27723.20, -24460.03, -10289.25, 19157.84, 14152.95, 17533.94, -11288.97, 16579.07, 44220.82, 27819.16, -7940.43, 3645.88, 24036.35, 26699.22, -25039.72, -14619.76, 27723.20, -24460.03, -10289.25, 19157.84, 14152.95, 17533.94, -11288.97, 16579.07, 44220.82, 27819.16, -7936.84, 3665.31, 24056.64, 26760.60, -25044.90, -14606.42, 27773.47, -24434.93, -10286.63, 19143.40, 14149.70, 17523.12, -11295.97, 16583.36, 44232.56, 27830.20, -7936.84, 3665.31, 24056.64, 26760.60, -25044.90, -14606.42, 27773.47, -24434.93, -10289.4825, 4.8126687499999345, 2.1937795582054123, 19151.300000000003, 43.69639999999784, 6.610325256747798, 14150.075, 11.390625, 3.375, 17529.77, 20.46409999999645, 4.523726340086948, -11292.5025, 12.480668750001833, 3.532798996546765, 16581.870000000003, 8.69805000000035, 2.949245666267961, 44235.205, 351.93867500004836, 18.76002865136534, 27823.892499999998, 23.636868750001838, 4.861776295758767, -7938.635, 3.222025000000261, 1.7950000000000728, 3655.595, 94.38122499999841, 9.714999999999918, 24046.495, 102.92102500000885, 10.145000000000437, 26729.910000000003, 941.8760999999196, 30.68999999999869, -25042.309999999998, 6.708100000000753, 2.5900000000001455, -14613.09, 44.48890000000097, 6.670000000000073, 27748.335, 631.7682250000111, 25.13500000000022, -24447.479999999996, 157.50249999998175, 12.549999999999272, '0'
